Offset	Sensor Name                                            Value
923.7	Steering wheel angle                                   2.0°
926.2	Vehicle yaw rate                                       -0.88°/s
926.2	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
926.2	Vehicle lateral acceleration (+ means left)            -0.16m/s²
933.7	Steering wheel angle                                   2.0°
943.7	Steering wheel angle                                   2.0°
946.3	Vehicle yaw rate                                       -0.88°/s
946.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
946.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
953.6	Steering wheel angle                                   2.0°
963.7	Steering wheel angle                                   2.0°
966.8	Displayed vehicle speed                                73.9km/h
967.0	Vehicle yaw rate                                       -0.88°/s
967.0	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
967.0	Vehicle lateral acceleration (+ means left)            -0.16m/s²
973.7	Steering wheel angle                                   2.0°
983.7	Steering wheel angle                                   2.0°
987.3	Vehicle yaw rate                                       -0.88°/s
987.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
987.3	Vehicle lateral acceleration (+ means left)            -0.16m/s²
993.8	Steering wheel angle                                   2.0°
1000.0	GPS                                                    52.72117°, 13.223778°
1003.6	Steering wheel angle                                   2.0°
1006.6	Vehicle yaw rate                                       -0.88°/s
1006.6	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1006.6	Vehicle lateral acceleration (+ means left)            -0.16m/s²
1013.6	Steering wheel angle                                   2.0°
1023.6	Steering wheel angle                                   2.0°
1026.4	Vehicle yaw rate                                       -0.7°/s
1026.4	Vehicle longitudinal acceleration (+ means forward)    0.56m/s²
1026.4	Vehicle lateral acceleration (+ means left)            -0.08m/s²
1033.6	Steering wheel angle                                   4.0°
1043.6	Steering wheel angle                                   4.0°
1046.3	Vehicle yaw rate                                       -0.7°/s
1046.3	Vehicle longitudinal acceleration (+ means forward)    0.72m/s²
1046.3	Vehicle lateral acceleration (+ means left)            -0.08m/s²
1053.7	Steering wheel angle                                   4.0°
1063.6	Steering wheel angle                                   4.0°
1066.1	Vehicle yaw rate                                       -0.88°/s
1066.1	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
1066.1	Vehicle lateral acceleration (+ means left)            -0.08m/s²
1066.7	Displayed vehicle speed                                74.0km/h
1073.8	Steering wheel angle                                   4.0°
1083.9	Steering wheel angle                                   4.0°
1086.1	Vehicle yaw rate                                       -0.88°/s
1086.1	Vehicle longitudinal acceleration (+ means forward)    0.64m/s²
1086.1	Vehicle lateral acceleration (+ means left)            -0.16m/s²
1093.7	Steering wheel angle                                   4.0°
1103.7	Steering wheel angle                                   4.0°
1106.2	Vehicle yaw rate                                       -1.05°/s
1106.2	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1106.2	Vehicle lateral acceleration (+ means left)            -0.16m/s²
1113.6	Steering wheel angle                                   4.0°
1123.6	Steering wheel angle                                   4.0°
1126.4	Vehicle yaw rate                                       -1.05°/s
1126.4	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1126.4	Vehicle lateral acceleration (+ means left)            -0.16m/s²
1133.6	Steering wheel angle                                   4.0°
1143.6	Steering wheel angle                                   4.0°
1146.3	Vehicle yaw rate                                       -1.23°/s
1146.3	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1146.3	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1153.6	Steering wheel angle                                   4.0°
1163.6	Steering wheel angle                                   4.0°
1166.1	Vehicle yaw rate                                       -1.4°/s
1166.1	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1166.1	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1167.3	Displayed vehicle speed                                74.0km/h
1173.7	Steering wheel angle                                   4.0°
1183.6	Steering wheel angle                                   4.0°
1186.1	Vehicle yaw rate                                       -1.4°/s
1186.1	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
1186.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1193.6	Steering wheel angle                                   4.0°
1203.6	Steering wheel angle                                   4.0°
1206.6	Vehicle yaw rate                                       -1.58°/s
1206.6	Vehicle longitudinal acceleration (+ means forward)    0.16m/s²
1206.6	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1213.6	Steering wheel angle                                   4.0°
1223.6	Steering wheel angle                                   4.0°
1226.1	Vehicle yaw rate                                       -1.58°/s
1226.1	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1226.1	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1233.5	Steering wheel angle                                   4.0°
1243.6	Steering wheel angle                                   4.0°
1246.2	Vehicle yaw rate                                       -1.4°/s
1246.2	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1246.2	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1253.9	Steering wheel angle                                   4.0°
1263.5	Steering wheel angle                                   4.0°
1266.1	Vehicle yaw rate                                       -1.4°/s
1266.1	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1266.1	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1266.9	Displayed vehicle speed                                74.3km/h
1273.7	Steering wheel angle                                   4.0°
1283.6	Steering wheel angle                                   4.0°
1286.3	Vehicle yaw rate                                       -1.4°/s
1286.3	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
1286.3	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1293.6	Steering wheel angle                                   4.0°
1303.5	Steering wheel angle                                   4.0°
1306.1	Vehicle yaw rate                                       -1.4°/s
1306.1	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1306.1	Vehicle lateral acceleration (+ means left)            -0.56m/s²
1313.6	Steering wheel angle                                   4.0°
1323.6	Steering wheel angle                                   4.0°
1326.2	Vehicle yaw rate                                       -1.4°/s
1326.2	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1326.2	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1333.5	Steering wheel angle                                   4.0°
1343.5	Steering wheel angle                                   4.0°
1346.2	Vehicle yaw rate                                       -1.4°/s
1346.2	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1346.2	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1353.5	Steering wheel angle                                   4.0°
1363.5	Steering wheel angle                                   4.0°
1366.3	Vehicle yaw rate                                       -1.4°/s
1366.3	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1366.3	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1366.9	Displayed vehicle speed                                74.3km/h
1373.6	Steering wheel angle                                   4.0°
1383.6	Steering wheel angle                                   4.0°
1386.1	Vehicle yaw rate                                       -1.4°/s
1386.1	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1386.1	Vehicle lateral acceleration (+ means left)            -0.48m/s²
1393.6	Steering wheel angle                                   4.0°
1403.5	Steering wheel angle                                   4.0°
1406.1	Vehicle yaw rate                                       -1.23°/s
1406.1	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1406.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1413.6	Steering wheel angle                                   4.0°
1423.5	Steering wheel angle                                   4.0°
1426.0	Vehicle yaw rate                                       -1.4°/s
1426.0	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1426.0	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1433.5	Steering wheel angle                                   4.0°
1443.5	Steering wheel angle                                   4.0°
1446.3	Vehicle yaw rate                                       -1.4°/s
1446.3	Vehicle longitudinal acceleration (+ means forward)    0.4m/s²
1446.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1453.6	Steering wheel angle                                   4.0°
1463.4	Steering wheel angle                                   4.0°
1466.3	Vehicle yaw rate                                       -1.4°/s
1466.3	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1466.3	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1473.5	Steering wheel angle                                   4.0°
1483.6	Steering wheel angle                                   4.0°
1486.1	Vehicle yaw rate                                       -1.4°/s
1486.1	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1486.1	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1493.5	Steering wheel angle                                   4.0°
1503.5	Steering wheel angle                                   4.0°
1506.0	Vehicle yaw rate                                       -1.4°/s
1506.0	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1506.0	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1513.5	Steering wheel angle                                   4.0°
1523.4	Steering wheel angle                                   4.0°
1526.2	Vehicle yaw rate                                       -1.4°/s
1526.2	Vehicle longitudinal acceleration (+ means forward)    0.48m/s²
1526.2	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1533.4	Steering wheel angle                                   4.0°
1543.4	Steering wheel angle                                   4.0°
1546.1	Vehicle yaw rate                                       -1.4°/s
1546.1	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1546.1	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1553.5	Steering wheel angle                                   4.0°
1563.5	Steering wheel angle                                   4.0°
1566.0	Vehicle yaw rate                                       -1.23°/s
1566.0	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1566.0	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1566.6	Displayed vehicle speed                                74.4km/h
1573.5	Steering wheel angle                                   4.0°
1583.6	Steering wheel angle                                   4.0°
1586.0	Vehicle yaw rate                                       -1.23°/s
1586.0	Vehicle longitudinal acceleration (+ means forward)    0.24m/s²
1586.0	Vehicle lateral acceleration (+ means left)            -0.4m/s²
1593.5	Steering wheel angle                                   4.0°
1603.5	Steering wheel angle                                   4.0°
1606.2	Vehicle yaw rate                                       -1.23°/s
1606.2	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1606.2	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1613.5	Steering wheel angle                                   4.0°
1623.4	Steering wheel angle                                   2.0°
1626.1	Vehicle yaw rate                                       -1.23°/s
1626.1	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1626.1	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1633.5	Steering wheel angle                                   2.0°
1643.4	Steering wheel angle                                   2.0°
1646.2	Vehicle yaw rate                                       -1.05°/s
1646.2	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1646.2	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1653.5	Steering wheel angle                                   2.0°
1663.4	Steering wheel angle                                   2.0°
1666.1	Vehicle yaw rate                                       -1.4°/s
1666.1	Vehicle longitudinal acceleration (+ means forward)    0.32m/s²
1666.1	Vehicle lateral acceleration (+ means left)            -0.24m/s²
1666.7	Displayed vehicle speed                                74.4km/h
